ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,325.8,5.8454213,2.3999999999999773,1.0613573,0.51578945,388,68,472,0,1,1
1,21.798202394816204,183,73,1,1,0,328.55,4.940026,3.1000000000000227,1.0037084,0.5208333,392,68,476,0,1,1
1,21.798202394816204,183,73,1,1,0,331.1,4.7598763,2,1.006282,0.52577317,396,68,480,0,1,1
1,21.798202394816204,183,73,1,1,0,332.8,5.046101,1.3999999999999773,0.9928992,0.52040815,401,68,485,0,1,1
1,21.798202394816204,183,73,1,1,0,334,5.046101,1,0.91157305,0.5151515,406,68,490,0,1,1
1,21.798202394816204,183,73,1,1,0,334.65,5.56882,0.30000000000001137,1.2307009,0.52,411,68,495,0,1,0
1,21.798202394816204,183,73,1,1,0,335.1,6.110019,0.5999999999999659,1.3125417,0.5247525,417,68,501,0,1,0
1,21.798202394816204,183,73,1,1,0,335.25,5.7987666,-0.2999999999999545,1.1792287,0.5294118,417,73,506,0,1,0
1,21.798202394816204,183,73,1,1,0,335.3,5.8204746,0.39999999999997726,1.1030498,0.5339806,422,73,511,0,1,0
1,21.798202394816204,183,73,1,1,0,335.55,5.924965,0.10000000000002274,1.3187183,0.53846157,427,73,516,0,1,0
1,21.798202394816204,183,73,1,1,0,335.4,6.185762,-0.4000000000000341,1.2554075,0.54285717,427,79,522,0,1,0
1,21.798202394816204,183,73,1,1,0,335.2,5.9380493,0,1.2847466,0.5471698,427,79,527,0,1,0
1,21.798202394816204,183,73,1,1,0,335.1,5.923327,-0.19999999999998863,1.2240094,0.55140185,427,84,532,0,1,0
1,21.798202394816204,183,73,1,1,0,334.9,5.9494743,-0.19999999999998863,1.24151,0.5555556,427,89,537,0,1,0
1,21.798202394816204,183,73,1,1,0,334.75,6.110019,-0.10000000000002274,1.1910672,0.559633,427,95,543,0,1,0
1,21.798202394816204,183,73,1,1,0,334.7,6.6768327,0,1.2281272,0.56363636,427,95,549,0,1,0
1,21.798202394816204,183,73,1,1,0,334.75,5.2294965,0.10000000000002274,0.9455447,0.5585586,432,95,554,0,1,0
1,21.798202394816204,183,73,1,1,0,334.9,6.4876933,0.19999999999998863,1.22298,0.5625,438,95,560,0,1,0
1,21.798202394816204,183,73,1,1,0,335.3,6.3395414,0.6000000000000227,1.2425394,0.5663717,444,95,566,0,1,0
1,21.798202394816204,183,73,1,1,0,336.05,6.339543,0.8999999999999773,1.2384217,0.5701754,450,95,572,0,1,0
1,21.798202394816204,183,73,1,1,0,336.95,6.3238883,0.8999999999999773,1.2065089,0.57391304,456,95,578,0,1,0
